gene,description,category,clinical_significance
GENE_000,"Prognostic biomarker strongly associated with overall survival. Higher expression correlates with improved patient outcomes.",Prognostic,High
GENE_001,"Predictive biomarker for treatment response. Expression levels influence sensitivity to chemotherapy.",Predictive,High
GENE_002,"Cell cycle regulator involved in DNA damage response. Essential for genomic stability.",Functional,Medium
GENE_003,"Growth factor receptor with tyrosine kinase activity. Target of several approved therapies.",Therapeutic,High
GENE_004,"Tumor suppressor gene involved in apoptosis regulation. Loss correlates with poor prognosis.",Prognostic,High
GENE_005,"Metabolic enzyme upregulated in hypoxic tumor environments.",Metabolic,Medium
GENE_006,"Immune checkpoint modulator. Influences response to immunotherapy.",Immunotherapy,High
GENE_007,"Stem cell marker associated with tumor initiation and recurrence.",Stemness,Medium
GENE_008,"DNA repair enzyme. Expression predicts response to DNA-damaging agents.",Predictive,High
GENE_009,"Angiogenesis factor. Serum levels used as prognostic marker.",Prognostic,Medium
